pid,cond,length,swap_noise,start_time,alpha_time,beta_time,switch_time,idx,Q_p_err,S_p_err,Q_cum_err,S_cum_err,Q_rt,S_rt
0,CE,4,0.006,110.33975052272508,500.0047206552304,13.487834071124258,0.8331258305415605,0,0.0,0.0,0.0,0.0,635.0693682117919,635.0693682117919
0,CE,4,0.006,110.33975052272508,500.0047206552304,13.487834071124258,0.8331258305415605,1,0.0027249999999999974,0.002924999999999996,0.0027249999999999974,0.002924999999999996,513.4925547263547,513.4925547263547
0,CE,4,0.006,110.33975052272508,500.0047206552304,13.487834071124258,0.8331258305415605,2,0.015187499999999948,0.014687499999999954,0.017912499999999946,0.01761249999999995,551.7052858313153,524.7296176890668
0,CE,4,0.006,110.33975052272508,500.0047206552304,13.487834071124258,0.8331258305415605,3,0.0,0.0,0.017912499999999946,0.01761249999999995,513.4925547263547,513.4925547263547
1,CE,4,0.006,214.97522956579456,539.2280350911396,1.9924402038870568,0.5925706819610332,0,0.0,0.0,0.0,0.0,757.3763665112051,757.3763665112051
1,CE,4,0.006,214.97522956579456,539.2280350911396,1.9924402038870568,0.5925706819610332,1,0.0027249999999999974,0.002924999999999996,0.0027249999999999974,0.002924999999999996,541.2204752950267,541.2204752950267
1,CE,4,0.006,214.97522956579456,539.2280350911396,1.9924402038870568,0.5925706819610332,2,0.015187499999999948,0.014687499999999954,0.017912499999999946,0.01761249999999995,546.3860173531848,542.4011369454106
1,CE,4,0.006,214.97522956579456,539.2280350911396,1.9924402038870568,0.5925706819610332,3,0.0,0.0,0.017912499999999946,0.01761249999999995,541.2204752950267,541.2204752950267
2,CE,4,0.01,106.91182202724374,448.75471423619376,16.547529371362685,2.1747467216724634,0,0.0,0.0,0.0,0.0,608.20075088695,608.20075088695
2,CE,4,0.01,106.91182202724374,448.75471423619376,16.547529371362685,2.1747467216724634,1,0.005074999999999983,0.004962499999999984,0.005074999999999983,0.004962499999999984,465.3022436075564,465.3022436075564
2,CE,4,0.01,106.91182202724374,448.75471423619376,16.547529371362685,2.1747467216724634,2,0.024925000000000044,0.02477500000000004,0.030000000000000027,0.029737500000000024,534.3839876024316,501.28892885970623
2,CE,4,0.01,106.91182202724374,448.75471423619376,16.547529371362685,2.1747467216724634,3,0.0,0.0,0.030000000000000027,0.029737500000000024,465.3022436075564,465.3022436075564
3,CE,4,0.01,191.65917821739467,545.6437240405463,12.57708849163932,1.6723809597570993,0,0.0,0.0,0.0,0.0,770.9136740721781,770.9136740721781
3,CE,4,0.01,191.65917821739467,545.6437240405463,12.57708849163932,1.6723809597570993,1,0.005074999999999983,0.004962499999999984,0.005074999999999983,0.004962499999999984,558.2208125321856,558.2208125321856
3,CE,4,0.01,191.65917821739467,545.6437240405463,12.57708849163932,1.6723809597570993,2,0.024925000000000044,0.02477500000000004,0.030000000000000027,0.029737500000000024,604.408672838062,579.2544958547834
3,CE,4,0.01,191.65917821739467,545.6437240405463,12.57708849163932,1.6723809597570993,3,0.0,0.0,0.030000000000000027,0.029737500000000024,558.2208125321856,558.2208125321856
4,CE,4,0.01,87.52871974120887,516.0438756907662,6.633434046123494,3.1511723841110273,0,0.0,0.0,0.0,0.0,631.1091236560648,631.1091236560648
4,CE,4,0.01,87.52871974120887,516.0438756907662,6.633434046123494,3.1511723841110273,1,0.005074999999999983,0.004962499999999984,0.005074999999999983,0.004962499999999984,522.6773097368897,522.6773097368897
4,CE,4,0.01,87.52871974120887,516.0438756907662,6.633434046123494,3.1511723841110273,2,0.024925000000000044,0.02477500000000004,0.030000000000000027,0.029737500000000024,556.8472720071029,543.5804039148559
4,CE,4,0.01,87.52871974120887,516.0438756907662,6.633434046123494,3.1511723841110273,3,0.0,0.0,0.030000000000000027,0.029737500000000024,522.6773097368897,522.6773097368897
5,CE,4,0.01,225.2114815957163,509.22853217851326,14.797128036218806,2.914760890421453,0,0.0,0.0,0.0,0.0,792.3672319009777,792.3672319009777
5,CE,4,0.01,225.2114815957163,509.22853217851326,14.797128036218806,2.914760890421453,1,0.005074999999999983,0.004962499999999984,0.005074999999999983,0.004962499999999984,524.025660214732,524.025660214732
5,CE,4,0.01,225.2114815957163,509.22853217851326,14.797128036218806,2.914760890421453,2,0.024925000000000044,0.02477500000000004,0.030000000000000027,0.029737500000000024,596.750006377699,567.1557503052614
5,CE,4,0.01,225.2114815957163,509.22853217851326,14.797128036218806,2.914760890421453,3,0.0,0.0,0.030000000000000027,0.029737500000000024,524.025660214732,524.025660214732
6,CE,4,0.008,70.746085772244,522.5174525786317,4.746819383998071,3.6108528613630324,0,0.0,0.0,0.0,0.0,615.1504240899567,615.1504240899567
6,CE,4,0.008,70.746085772244,522.5174525786317,4.746819383998071,3.6108528613630324,1,0.004112499999999989,0.004224999999999988,0.004112499999999989,0.004224999999999988,527.2642719626298,527.2642719626298
6,CE,4,0.008,70.746085772244,522.5174525786317,4.746819383998071,3.6108528613630324,2,0.01881249999999993,0.020062499999999938,0.022924999999999918,0.024287499999999927,553.8979770857088,544.4043383177127
6,CE,4,0.008,70.746085772244,522.5174525786317,4.746819383998071,3.6108528613630324,3,0.0,0.0,0.022924999999999918,0.024287499999999927,527.2642719626298,527.2642719626298
7,CE,4,0.008,197.62810005653373,527.0695575577971,9.164257856819061,4.466245012178147,0,0.0,0.0,0.0,0.0,774.7917364144824,774.7917364144824
7,CE,4,0.008,197.62810005653373,527.0695575577971,9.164257856819061,4.466245012178147,1,0.004112499999999989,0.004224999999999988,0.004112499999999989,0.004224999999999988,536.2338154146162,536.2338154146162
7,CE,4,0.008,197.62810005653373,527.0695575577971,9.164257856819061,4.466245012178147,2,0.01881249999999993,0.020062499999999938,0.022924999999999918,0.024287499999999927,595.4921520715868,577.1636363579487
7,CE,4,0.008,197.62810005653373,527.0695575577971,9.164257856819061,4.466245012178147,3,0.0,0.0,0.022924999999999918,0.024287499999999927,536.2338154146162,536.2338154146162
8,CE,4,0.01,108.82165490557766,488.4114126500588,28.38605794929517,0.6863471251417459,0,0.0,0.0,0.0,0.0,645.1018147725374,645.1018147725374
