pid,p_CE,p_crossed,cond,lkhd_Q,lkhd_S,lkhd_Q_4,lkhd_Q_6,lkhd_Q_8,lkhd_S_4,lkhd_S_6,lkhd_S_8,param_name,param_est_Q,param_est_S
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,swap_noise,0.009,0.01
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,strat_a_4,0.9377836540255662,0.9711532917175663
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,strat_a_6,0.9636450959840142,0.9735382265632284
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,strat_a_8,0.9301139865183637,0.90690358690535
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,strat_b_4,-2.8002815999980704,-2.373981368679033
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,strat_b_6,-1.2125524602051374,-0.9434269890654202
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,strat_b_8,-0.968502639157663,-1.8748706369174073
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,strat_c_4,-0.221179911132029,2.4641483353950115
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,strat_c_6,3.513223867353778,3.4702657228396854
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,strat_c_8,2.3718944737581826,1.1406878977811958
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,random_err,0.08206819079173407,0.07402373506497734
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,switch_cost,0.11,3.17
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,alpha_time,607.3792513709877,670.2367010480863
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,start_time,924.9684728228041,750.2670287895869
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,beta_time,64.24302627855243,45.8524806161381
0838erglf3lz0ieiojwy4,0.77,0.01,CE,-597.3778475491654,-619.081719797853,-59.24322853262093,-186.65718446247217,-351.4774345540722,-59.76300493909473,-192.42795960767725,-366.89075525108103,sigma_time,0.3776092578233537,0.39465451009959934
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,swap_noise,0.018,0.012
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,strat_a_4,0.8688005370048083,0.36685893303298633
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,strat_a_6,0.7094662424618048,0.8952186125339499
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,strat_a_8,0.41576087515729665,0.8377054291684363
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,strat_b_4,0.8903355934481625,1.4038188229200033
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,strat_b_6,-0.22030933975580821,0.007896241113068223
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,strat_b_8,-0.7028922461171943,0.6264274853204314
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,strat_c_4,1.5005635173970169,2.343584972861921
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,strat_c_6,0.2499093934991748,2.4007948962968246
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,strat_c_8,4.379704440035148,1.423961480040313
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,random_err,0.008160954202571504,0.015080889561400803
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,switch_cost,0.12,5.21
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,alpha_time,579.7610140039483,997.1596084031214
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,start_time,1062.608327701852,850.6693246575468
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,beta_time,402.8247685469886,44.382431101398815
14uuvv32zn3b7oli6xcv0v,0.48,0.0,CE,-617.7484088507256,-655.685913768263,-79.40583649185845,-206.76989446898983,-331.57267788987735,-80.31117191928031,-212.37555001733276,-362.99919183164997,sigma_time,0.34008471743789465,0.42379735076481306
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,swap_noise,0.024,0.032
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,strat_a_4,0.8893248221297224,0.8405669917704851
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,strat_a_6,0.9644174486667368,0.9425331490291452
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,strat_a_8,0.9794204575943721,0.9888328546042878
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,strat_b_4,-0.7248684471893383,-1.6377641120364061
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,strat_b_6,-2.7619150427217054,-1.5048023659963699
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,strat_b_8,-2.804673951831536,-3.9910689228401663
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,strat_c_4,2.1248530186783965,0.8215939678194466
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,strat_c_6,1.6331209523961554,2.733062687310301
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,strat_c_8,2.494706075255202,1.199205989799541
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,random_err,0.06500099987284179,0.06390279225917944
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,switch_cost,16.68,12.55
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,alpha_time,585.9175513164394,591.5238288374965
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,start_time,353.5921570974833,278.45987918821885
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,beta_time,14.523397283397747,23.386959698012017
19vesr3i22vtzy2yenhkb,0.73,0.0,CE,-704.7163648954173,-703.1054354032747,-62.771349663388236,-290.7848008020615,-351.1602144299676,-62.632141294427456,-291.74789372580284,-348.7254003830443,sigma_time,0.46310467064642646,0.4586574486263779
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,swap_noise,0.0007,0.001
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,strat_a_4,0.652741908051893,0.9579741453227755
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,strat_a_6,0.9790845644379204,0.9656722004158361
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,strat_a_8,0.9954910196762116,0.9882478515014046
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,strat_b_4,-2.1090326491658806,-3.030234584719092
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,strat_b_6,-1.4362390773467928,-2.4019759810107217
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,strat_b_8,-3.4975896868186127,-3.153183250669157
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,strat_c_4,3.0359620693538116,0.8069559632017884
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,strat_c_6,2.2763993724787017,1.7238532734715581
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,strat_c_8,3.4266814340608085,1.9491118073155977
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,random_err,0.01384586607175386,0.015753595632085095
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,switch_cost,0.04,7.24
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,alpha_time,335.39035203841,557.6703666616562
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,start_time,1070.2867533907006,602.5151178097418
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,beta_time,168.953508540384,54.62956866045515
1n0tpjoi14gh4j52hi762n,0.96,0.0,CE,-582.1737155399644,-714.2221004140304,-48.35410789937454,-221.30073692188708,-312.51887071870283,-67.27014743218315,-222.752786999062,-424.19916598278513,sigma_time,0.4104375155020692,0.5115214880728378
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,swap_noise,0.015,0.019
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,strat_a_4,0.89780520096564,0.9306308317736502
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,strat_a_6,0.9667623420796315,0.8698782266762978
3t8478ffntgdw3r2r4yjol,0.77,0.0,CE,-605.2662302197384,-634.4019690832978,-34.14646928566245,-175.8041673868634,-395.31559354721253,-35.29182580302827,-177.86315085546306,-421.2469924248064,strat_a_8,0.9701739301542578,0.9631693911306995
